ticker,date,open,high,low,close
CVNA,2017-06-29,20.73,21.15,20.27,20.6
CVNA,2017-06-30,20.66,20.8,20.2,20.47
CVNA,2017-07-03,20.42,20.46,18.9341,19.21
CVNA,2017-07-05,19.0,21.5,18.63,21.18
CVNA,2017-07-06,21.03,21.07,19.29,20.18
CVNA,2017-07-07,20.15,21.2,19.6,21.0
CVNA,2017-07-10,21.0,22.25,20.33,21.99
CVNA,2017-07-11,22.01,22.1,20.63,21.56
CVNA,2017-07-12,21.66,22.67,21.66,22.4
CVNA,2017-07-13,22.35,23.52,22.04,22.98
CVNA,2017-07-14,22.98,23.1304,22.55,22.93
CVNA,2017-07-17,23.21,23.3612,21.64,21.8
CVNA,2017-07-18,21.62,21.92,21.0901,21.53
CVNA,2017-07-19,21.55,22.4,21.3,22.26
CVNA,2017-07-20,22.42,22.42,21.5,21.6
CVNA,2017-07-21,21.66,22.1,21.232,21.4
CVNA,2017-07-24,21.44,21.75,20.03,21.62
CVNA,2017-07-25,21.42,21.48,20.6,20.87
CVNA,2017-07-26,20.78,21.38,20.55,21.35
CVNA,2017-07-27,21.19,21.6206,20.8061,20.99
CVNA,2017-07-28,20.6,21.24,20.39,20.41
CVNA,2017-07-31,20.25,20.25,18.95,19.52
CVNA,2017-08-01,19.44,19.6366,18.66,18.71
CVNA,2017-08-02,18.65,19.53,18.53,19.06
CVNA,2017-08-03,19.06,19.159,16.88,17.41
CVNA,2017-08-04,17.205,18.03,16.2,18.02
CVNA,2017-08-07,18.03,19.0,17.76,18.57
CVNA,2017-08-08,18.75,19.85,18.56,19.23
CVNA,2017-08-09,18.31,18.98,16.5,18.09
CVNA,2017-08-10,17.9,17.9699,16.7001,17.21
CVNA,2017-08-11,16.53,17.65,16.25,16.33
CVNA,2017-08-14,16.37,16.6,14.8,15.37
CVNA,2017-08-15,15.31,15.54,14.38,14.79
CVNA,2017-08-16,14.72,15.87,14.6056,15.15
CVNA,2017-08-17,14.91,15.43,14.8,15.18
CVNA,2017-08-18,14.98,15.2,13.82,14.21
CVNA,2017-08-21,13.88,14.73,13.44,14.62
CVNA,2017-08-22,14.45,15.5999,14.26,15.51
CVNA,2017-08-23,15.38,18.04,15.25,15.94
CVNA,2017-08-24,16.08,16.5269,15.54,15.92
CVNA,2017-08-25,16.13,16.44,14.79,14.84
CVNA,2017-08-28,14.8,15.59,14.6,15.5
CVNA,2017-08-29,15.38,15.83,14.9,15.74
CVNA,2017-08-30,15.85,17.94,15.55,17.53
CVNA,2017-08-31,17.82,19.19,17.66,17.85
CVNA,2017-09-01,17.89,17.89,16.34,17.34
CVNA,2017-09-05,17.22,17.38,16.12,16.74
CVNA,2017-09-06,16.85,17.9,16.64,17.87
CVNA,2017-09-07,18.25,18.87,18.19,18.75
CVNA,2017-09-08,18.73,19.15,17.66,18.4
CVNA,2017-09-11,18.49,18.7,17.75,18.43
CVNA,2017-09-12,18.34,19.36,18.14,18.52
CVNA,2017-09-13,18.49,19.05,17.91,18.05
CVNA,2017-09-14,18.0,18.4277,17.64,18.14
CVNA,2017-09-15,18.12,18.529,17.51,17.66
CVNA,2017-09-18,17.64,17.959,16.3,16.33
CVNA,2017-09-19,16.35,17.1745,16.1,16.69
CVNA,2017-09-20,16.74,17.74,16.51,17.59
CVNA,2017-09-21,17.41,17.8899,16.55,16.81
CVNA,2017-09-22,15.87,16.71,15.87,16.17
CVNA,2017-09-25,16.01,16.78,16.0,16.5
CVNA,2017-09-26,16.39,16.705,15.6,16.02
CVNA,2017-09-27,16.04,16.2496,15.36,15.5
CVNA,2017-09-28,15.5,15.715,14.55,14.9
CVNA,2017-09-29,14.91,15.125,14.14,14.68
CVNA,2017-10-02,14.89,15.88,14.66,15.65
CVNA,2017-10-03,15.75,15.99,15.32,15.43
CVNA,2017-10-04,15.45,15.63,14.6201,15.38
CVNA,2017-10-05,15.38,15.94,15.14,15.45
CVNA,2017-10-06,15.31,15.71,15.17,15.26
CVNA,2017-10-09,15.22,15.505,14.56,14.81
CVNA,2017-10-10,14.75,14.9,13.86,13.9
CVNA,2017-10-11,13.89,14.26,13.58,14.25
CVNA,2017-10-12,14.11,14.11,13.66,14.01
CVNA,2017-10-13,13.86,14.41,13.82,14.02
CVNA,2017-10-16,14.02,14.35,13.75,14.0
CVNA,2017-10-17,13.9,14.325,13.801,13.99
CVNA,2017-10-18,13.88,14.29,13.88,13.99
CVNA,2017-10-19,13.9,14.15,13.38,13.46
CVNA,2017-10-20,13.48,13.61,12.95,13.34
CVNA,2017-10-23,13.34,13.369,12.75,13.03
CVNA,2017-10-24,12.94,13.65,12.86,13.64
CVNA,2017-10-25,13.53,13.86,12.95,13.03
CVNA,2017-10-26,12.97,13.59,12.53,12.65
CVNA,2017-10-27,12.61,12.95,12.5,12.76
CVNA,2017-10-30,12.5101,12.785,12.17,12.5
CVNA,2017-10-31,12.43,14.59,12.43,14.18
CVNA,2017-11-01,14.39,14.46,13.53,14.01
CVNA,2017-11-02,14.0,14.28,13.79,14.0
CVNA,2017-11-03,14.04,14.25,13.87,14.06
CVNA,2017-11-06,14.06,16.46,14.06,16.36
CVNA,2017-11-07,16.42,16.47,14.78,15.15
CVNA,2017-11-08,12.9,15.06,12.87,14.66
CVNA,2017-11-09,14.58,14.62,13.75,13.86
CVNA,2017-11-10,13.6,14.3,13.58,14.19
CVNA,2017-11-13,14.13,15.3,13.9101,15.03
CVNA,2017-11-14,15.01,15.57,14.62,15.13
CVNA,2017-11-15,14.98,15.17,14.69,14.95
CVNA,2017-11-16,15.08,15.47,14.93,15.4
CVNA,2017-11-17,15.4,15.76,15.27,15.5
CVNA,2017-11-20,15.66,15.71,14.632,14.94
CVNA,2017-11-21,15.04,15.56,14.2668,14.67
CVNA,2017-11-22,14.69,15.46,14.525,15.32
CVNA,2017-11-24,15.52,15.56,15.2,15.43
CVNA,2017-11-27,15.4,15.849,15.4,15.74
CVNA,2017-11-28,15.51,16.69,15.43,16.54
CVNA,2017-11-29,16.58,17.06,15.36,15.59
CVNA,2017-11-30,15.76,16.74,15.62,16.21
CVNA,2017-12-01,16.1,18.72,16.02,17.91
CVNA,2017-12-04,18.62,20.91,18.34,20.21
CVNA,2017-12-05,20.65,20.65,19.01,20.43
CVNA,2017-12-06,20.33,21.47,20.26,20.55
CVNA,2017-12-07,20.5,22.5399,20.49,22.02
CVNA,2017-12-08,20.81,21.81,20.0,21.24
CVNA,2017-12-11,21.37,21.37,20.37,20.67
CVNA,2017-12-12,20.75,21.66,20.67,21.3
CVNA,2017-12-13,21.25,23.45,20.96,22.08
CVNA,2017-12-14,22.02,23.67,22.02,23.24
CVNA,2017-12-15,23.51,24.89,21.5,21.87
CVNA,2017-12-18,22.35,22.58,21.09,21.53
CVNA,2017-12-19,21.61,21.86,20.1,20.28
CVNA,2017-12-20,20.24,21.39,20.07,20.99
CVNA,2017-12-21,21.01,21.54,21.01,21.23
CVNA,2017-12-22,21.25,21.44,21.04,21.25
CVNA,2017-12-26,21.25,21.71,20.8854,21.23
CVNA,2017-12-27,21.14,21.2,20.0778,20.28
CVNA,2017-12-28,20.15,20.25,19.46,19.63
CVNA,2017-12-29,19.43,19.9,19.08,19.12
CVNA,2018-01-02,19.16,19.3,18.22,18.31
CVNA,2018-01-03,18.17,18.4,17.745,18.37
CVNA,2018-01-04,18.24,18.935,17.82,18.75
CVNA,2018-01-05,18.84,19.92,18.79,19.71
CVNA,2018-01-08,19.7,20.4,19.23,20.05
CVNA,2018-01-09,20.13,20.22,19.9,20.17
CVNA,2018-01-10,19.96,21.06,19.74,21.04
CVNA,2018-01-11,21.15,21.82,20.12,20.57
CVNA,2018-01-12,20.57,21.0,20.49,20.95
CVNA,2018-01-16,20.95,21.64,20.325,20.51
CVNA,2018-01-17,20.65,21.05,20.155,20.38
